ID,DATE,CURRENCY,PX_LAST
GTIDR8Y Govt,2021-07-25,,6.160354
GTIDR8Y Govt,2021-07-26,,6.157187
GTIDR8Y Govt,2021-07-27,,6.149618
GTIDR8Y Govt,2021-07-28,,6.140245
GTIDR8Y Govt,2021-07-29,,6.129857
GTIDR8Y Govt,2021-07-30,,6.103745
GTIDR8Y Govt,2021-07-31,,6.103745
GTIDR8Y Govt,2021-08-01,,6.103745
GTIDR8Y Govt,2021-08-02,,6.085866
GTIDR8Y Govt,2021-08-03,,6.07422
GTIDR8Y Govt,2021-08-04,,6.065494
GTIDR8Y Govt,2021-08-05,,6.074014
GTIDR8Y Govt,2021-08-06,,6.093277
GTIDR8Y Govt,2021-08-07,,6.093277
GTIDR8Y Govt,2021-08-08,,6.093277
GTIDR8Y Govt,2021-08-09,,6.11
GTIDR8Y Govt,2021-08-10,,6.111495
GTIDR8Y Govt,2021-08-11,,6.111495
GTIDR8Y Govt,2021-08-12,,6.131974
GTIDR8Y Govt,2021-08-13,,6.144704
GTIDR8Y Govt,2021-08-14,,6.144704
GTIDR8Y Govt,2021-08-15,,6.144704
GTIDR8Y Govt,2021-08-16,,6.1165
GTIDR8Y Govt,2021-08-17,,6.1165
GTIDR8Y Govt,2021-08-18,,6.124945
GTIDR8Y Govt,2021-08-19,,6.123991
GTIDR8Y Govt,2021-08-20,,6.150308
GTIDR8Y Govt,2021-08-21,,6.150308
GTIDR8Y Govt,2021-08-22,,6.150308
GTIDR8Y Govt,2021-08-23,,6.144922
GTIDR8Y Govt,2021-08-24,,6.111954
GTIDR8Y Govt,2021-08-25,,6.030413
GTIDR8Y Govt,2021-08-26,,6.019305
GTIDR8Y Govt,2021-08-27,,6.02702
GTIDR8Y Govt,2021-08-28,,6.02702
GTIDR8Y Govt,2021-08-29,,6.02702
GTIDR8Y Govt,2021-08-30,,6.023195
GTIDR8Y Govt,2021-08-31,,5.982851
GTIDR8Y Govt,2021-09-01,,6.008314
GTIDR8Y Govt,2021-09-02,,6.010435
